Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,2.2708,49.4789,2.2925,47.7671
2,2.2329,50.3444,2.2425,48.9890
3,1.9086,49.0799,1.9331,49.0881
4,1.6210,53.1595,2.0320,52.1409
5,1.5031,54.7494,1.5255,53.6853
6,1.7503,56.4986,1.7537,53.9106
7,1.2616,57.4252,1.5141,57.4822
8,1.1802,60.4494,1.2215,59.1041
9,1.0878,62.2752,1.0937,61.4700
10,1.0925,64.8365,1.0954,64.0934
11,0.9504,67.2172,0.9659,66.3054
12,0.8226,69.4661,0.9120,68.4277
13,0.8854,71.8772,0.8946,71.2604
14,0.9845,72.5346,1.0030,72.4874
15,0.7253,76.6715,0.7318,75.5814
16,0.6427,77.1487,0.6580,78.2949
17,0.6101,80.7046,0.7621,80.6094
18,0.5345,82.9701,0.5541,81.8790
19,0.5344,84.5568,0.5346,84.1725
20,0.4800,86.2496,0.6685,85.8362
21,0.4151,87.5113,0.6837,86.7082
22,0.3901,88.7015,0.4009,88.2831
23,0.3510,89.7425,0.4092,88.5223
24,0.3922,89.5140,0.3973,90.7865
25,0.3216,91.5676,0.3307,91.2275
26,0.3402,92.1524,0.3537,91.7688
27,0.3075,92.7859,0.3308,91.4624
28,0.3103,93.6783,0.3450,93.5338
29,0.4618,94.1413,0.4693,93.3951
30,0.2586,93.0953,0.2833,93.3854
31,0.2336,94.2955,0.2925,93.5840
32,0.2491,94.7845,0.3010,94.6415
33,0.2595,93.7630,0.2772,95.0943
34,0.2339,95.0849,0.2569,95.2508
35,0.1831,94.7839,0.2086,95.3485
36,0.1960,95.6655,0.2167,95.1067
37,0.2187,95.8856,0.2462,95.4020
38,0.2063,95.5960,0.2125,94.9819
39,0.1550,95.6522,0.2019,95.4034
40,0.1371,95.5260,0.2332,95.5909
41,0.1761,95.7553,0.1930,95.6599
42,0.2428,96.1443,0.3119,95.5421
43,0.1319,96.2644,0.2812,95.8751
44,0.1361,96.2876,0.2039,95.6133
45,0.1356,95.8702,0.2132,95.7698
46,0.1316,95.1724,0.1481,95.9952
47,0.1327,96.2937,0.1674,95.6995
48,0.1503,96.0040,0.2235,96.1998
49,0.1380,95.3430,0.1540,96.2633
50,0.1154,95.5758,0.1775,96.4054
